directory,scenario,policy,state,ranking_eligible,violations,invalid,violation_reasons,min_soc_kwh,max_soc_kwh,max_abs_dispatch_kw,energy_residual_kwh,export_kwh,import_kwh,load_kwh,max_loading,max_power_residual_pu,max_voltage_pu,min_voltage_pu,network_loss_kwh,peak_import_kw,solar_kwh,storage_delta_kwh,storage_loss_kwh,total_loss_kwh
bridge/case-00,exploration family=storage seed=11 scale=0.7,baseline,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,7.196909734830115e-12,299.16787712193934,543.7291567753499,893.7124283,0.7292482460211663,4.967948554771323e-11,1.0099345737915857,0.9903837339265322,5.365548453403414,63.63511285210405,654.5166971000001,0.0,0.0,5.365548453403414
bridge/case-00,exploration family=storage seed=11 scale=0.7,tap_m2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.7554847292776685e-11,299.1012236282119,543.799042579307,893.7124283,0.7386365550744635,4.589073326352826e-11,0.99755730446842,0.9777597558161351,5.502087751067577,63.64769748102841,654.5166971000001,0.0,0.0,5.502087751067577
bridge/case-00,exploration family=storage seed=11 scale=0.7,tap_p2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.504663143554353e-13,299.23212435756494,543.6618847625949,893.7124283,0.7200975242300236,5.015913588689111e-11,1.0223147679017464,1.003004568061877,5.234029205029833,63.6230018648305,654.5166971000001,0.0,0.0,5.234029205029833
bridge/case-00,exploration family=storage seed=11 scale=0.7,tap_p4,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,-5.53068701947268e-12,299.2940792602466,543.5970973046359,893.7124283,0.7111754130042102,5.0682958999218336e-11,1.0346977846842373,1.0156223773248254,5.107286844394895,63.611340920077616,654.5166971000001,0.0,0.0,5.107286844394895
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_0,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-2.169375790117556e-13,291.28025407248646,536.4102708574179,893.7124283,0.7094532144228061,4.6535233658573296e-11,1.0099345737915857,0.9909394229991882,5.154285584931776,61.80064125572826,654.5166971000001,0.0,0.7799999999999996,5.934285584931775
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_1,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-1.9275692153541968e-12,291.2911114126716,536.4102708574179,893.7124283,0.7094532144228061,4.6535233658573296e-11,1.0098181713176249,0.9909394229991882,5.143428244748261,61.80064125572826,654.5166971000001,0.0,0.7799999999999996,5.92342824474826
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_2,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-1.2989609388114332e-12,283.38151062601446,529.1011065042543,893.7124283,0.6897226771360921,3.9004708617609943e-11,1.0099345737915857,0.9910504233009372,4.963864678241174,59.968617287138315,654.5166971000001,0.0,1.5599999999999992,6.523864678241173
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_3,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-3.921751812185903e-12,283.4032668309943,529.1011065042543,893.7124283,0.6897226771360921,3.9004708617609943e-11,1.0097015508418123,0.9910504233009372,4.9421084732639455,59.968617287138315,654.5166971000001,0.0,1.5599999999999992,6.502108473263945
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_4,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-1.3694823053356231e-11,267.55047412080955,514.511788128725,893.7124283,0.6566175642156024,3.882417713610862e-11,1.0099345737915857,0.9912718357688993,4.6455828079291965,56.3118731840967,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.765582807929195
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_5,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-2.1503687719359732e-11,267.5941538228347,514.511788128725,893.7124283,0.6504677990989305,3.882417713610862e-11,1.0094676521429722,0.9912718357688993,4.601903105911804,56.3118731840967,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.721903105911802
